Down-log2(FC)	Down-entry	Down-mgi_symbol	Down-refseq_mrna	Down-entrezgene	Down-description
-7.80791656776298	1414	Serpine1	0	18787	serine (or cysteine) peptidase inhibitor
-7.7998187891625	1157	Adora2a	NM_009630	11540	adenosine A2a receptor [Source:MGI Symbol
-7.73205820074799	1259	Gm26584	0	NA	predicted gene
-7.60467887768189	1093	Il6	NM_031168	16193	interleukin 6 [Source:MGI Symbol
-7.60220264258404	440	Fpr1	NM_013521	14293	formyl peptide receptor 1 [Source:MGI Symbol
-7.5729602153217	983	Gipr	NM_001080815	381853	gastric inhibitory polypeptide receptor [Source:MGI Symbol
-7.57250871938948	2084	Adgrv1	NM_054053	110789	adhesion G protein-coupled receptor V1 [Source:MGI Symbol
-7.56363444612887	1243	Tpbg	NM_011627	21983	trophoblast glycoprotein [Source:MGI Symbol
-7.55829525982168	1267	0	0	NA	0
-7.50848453235804	336	Cxcl3	NM_203320	330122	chemokine (C-X-C motif) ligand 3 [Source:MGI Symbol
-7.38035904295917	1167	Gm43181	0	NA	predicted gene 43181 [Source:MGI Symbol
-7.35926200295446	771	Ptges	NM_022415	64292	prostaglandin E synthase [Source:MGI Symbol
-7.25486130612004	696	Apol9a	NM_001162883	223672	apolipoprotein L 9a [Source:MGI Symbol
-7.10851455633619	1721	Gm18445	0	NA	predicted gene
-7.04792416382349	1003	Flrt3	0	71436	fibronectin leucine rich transmembrane protein 3 [Source:MGI Symbol
-6.98964809160758	48	Tarm1	0	245126	T cell-interacting
-6.97218851466833	143	Saa3	NM_011315	20210	serum amyloid A 3 [Source:MGI Symbol
-6.95860361205905	3807	Stc2	NM_011491	20856	stanniocalcin 2 [Source:MGI Symbol
-6.90004273802749	1084	Tcp10b	NM_009341	21462	t-complex protein 10b [Source:MGI Symbol
-6.78133179733854	4212	Dcn	NM_001190451	13179	decorin [Source:MGI Symbol
-6.7394836625411	2296	Apobec4	NM_001081197	71281	apolipoprotein B mRNA editing enzyme
-6.66929923235324	271	Nos2	NM_001313921	18126	nitric oxide synthase 2
-6.65835238673739	3662	Lipg	NM_010720	16891	lipase
-6.64352888836383	2749	Siglece	NM_031181	83382	sialic acid binding Ig-like lectin E [Source:MGI Symbol
-6.63890913994025	1081	Il1b	NM_008361	16176	interleukin 1 beta [Source:MGI Symbol
-6.56413129492572	182	Il1rn	NM_031167	16181	interleukin 1 receptor antagonist [Source:MGI Symbol
-6.5454399418366	544	Slc6a19	0	74338	solute carrier family 6 (neurotransmitter transporter)
-6.4737329137309	1064	Gm7592	0	NA	predicted gene 7592 [Source:MGI Symbol
-6.45129934279165	1191	Slc7a2	NM_001044740	11988	solute carrier family 7 (cationic amino acid transporter
-6.44934242625055	289	Wnk2	0	75607	WNK lysine deficient protein kinase 2 [Source:MGI Symbol
-6.43313818983283	17	Procr	NM_011171	19124	protein C receptor
-6.42232390180352	2465	Hes1	NM_008235	15205	hairy and enhancer of split 1 (Drosophila) [Source:MGI Symbol
-6.41912625267955	243	AA467197	0	433470	expressed sequence AA467197 [Source:MGI Symbol
-6.39016323101061	1051	Serpinb1a	0	66222	serine (or cysteine) peptidase inhibitor
-6.37609180724268	574	Gprc5a	NM_181444	232431	G protein-coupled receptor
-6.37527650206784	1473	Klf4	0	16600	Kruppel-like factor 4 (gut) [Source:MGI Symbol
-6.35209970068816	914	Ccl7	NM_013654	20306	chemokine (C-C motif) ligand 7 [Source:MGI Symbol
-6.32539039193276	2821	Ghr	NM_001286370	14600	growth hormone receptor [Source:MGI Symbol
-6.32237732766578	1225	Ccl2	NM_011333	20296	chemokine (C-C motif) ligand 2 [Source:MGI Symbol
-6.2865237109127	1941	2010110E17Rik	0	NA	RIKEN cDNA 2010110E17 gene [Source:MGI Symbol
-6.27607637633031	15	Pdpn	NM_010329	14726	podoplanin [Source:MGI Symbol
-6.27482593949011	736	Mx2	0	17858	MX dynamin-like GTPase 2 [Source:MGI Symbol
-6.2264291702217	1072	Il23r	NM_144548	209590	interleukin 23 receptor [Source:MGI Symbol
-6.22365937847428	1122	Il12b	NM_001303244	16160	interleukin 12b [Source:MGI Symbol
-6.15030725036764	129	Serpinb9b	NM_011452	20706	serine (or cysteine) peptidase inhibitor
-6.11124641269496	20	Naip1	NM_008670	17940	NLR family
-6.10581337050257	680	Col4a2	NM_009932	12827	collagen
-6.08921935402581	1458	Lta	NM_010735	16992	lymphotoxin A [Source:MGI Symbol
-6.04375770776635	1584	Diras2	NM_001024474	68203	DIRAS family
-6.02760856340303	310	Dusp13	0	27389	dual specificity phosphatase 13 [Source:MGI Symbol
-6.02687691471318	93	F10	NM_007972	14058	coagulation factor X [Source:MGI Symbol
-6.01621214489046	148	Tnfrsf9	0	21942	tumor necrosis factor receptor superfamily
-5.98990165716894	787	Pde5a	NM_153422	242202	phosphodiesterase 5A
-5.97980363743961	474	Rsad2	0	58185	radical S-adenosyl methionine domain containing 2 [Source:MGI Symbol
-5.97761439571971	503	Apol9b	NM_173743	71898	apolipoprotein L 9b [Source:MGI Symbol
-5.93194949595243	2595	Rasgrf1	0	19417	RAS protein-specific guanine nucleotide-releasing factor 1 [Source:MGI Symbol
-5.92770228264994	117	Clcf1	NM_019952	56708	cardiotrophin-like cytokine factor 1 [Source:MGI Symbol
-5.92679813486368	1638	Ptgs2os	0	NA	prostaglandin-endoperoxide synthase 2
-5.907754863195	761	Gsta3	NM_010356	14859	glutathione S-transferase
-5.83965007680251	1848	Ptgs2	NM_011198	19225	prostaglandin-endoperoxide synthase 2 [Source:MGI Symbol
-5.82961402696298	1448	Car2	0	12349	carbonic anhydrase 2 [Source:MGI Symbol
-5.82547659378912	746	Sema3c	NM_013657	20348	sema domain
-5.78817004928213	96	Sdc1	0	20969	syndecan 1 [Source:MGI Symbol
-5.77505999155385	2617	Gm27167	0	NA	predicted gene 27167 [Source:MGI Symbol
-5.75889001483529	1542	Socs3	NM_007707	12702	suppressor of cytokine signaling 3 [Source:MGI Symbol
-5.72897389811381	31	A530064D06Rik	NM_178796	328830	RIKEN cDNA A530064D06 gene [Source:MGI Symbol
-5.72362535989863	3124	Sell	NM_001164059	20343	selectin
-5.71160400321977	973	Trem1	0	58217	triggering receptor expressed on myeloid cells 1 [Source:MGI Symbol
-5.69322616607444	1200	Cd38	NM_007646	12494	CD38 antigen [Source:MGI Symbol
-5.61439157810465	162	Slc7a11	0	26570	solute carrier family 7 (cationic amino acid transporter
-5.61162120784982	716	Lysmd2	NM_027309	70082	LysM
-5.60750820022583	232	Fpr2	0	14289	formyl peptide receptor 2 [Source:MGI Symbol
-5.58995309024302	6	Slc22a4	NM_019687	30805	solute carrier family 22 (organic cation transporter)
-5.55152089450863	357	Gm13822	0	NA	predicted gene 13822 [Source:MGI Symbol
-5.53140290803426	1539	Grhl1	NM_001161406	195733	grainyhead-like 1 (Drosophila) [Source:MGI Symbol
-5.49344958543214	492	Dusp8	NM_008748	18218	dual specificity phosphatase 8 [Source:MGI Symbol
-5.46244606170712	2330	Lhx2	NM_001290646	16870	LIM homeobox protein 2 [Source:MGI Symbol
-5.45225750153236	1085	Ccdc148	0	227933	coiled-coil domain containing 148 [Source:MGI Symbol
-5.45169591213852	147	Dnmt3l	0	54427	DNA (cytosine-5-)-methyltransferase 3-like [Source:MGI Symbol
-5.42744175547923	210	Acpp	NM_207668	56318	acid phosphatase
-5.40194115724763	684	Gadd45g	NM_011817	23882	growth arrest and DNA-damage-inducible 45 gamma [Source:MGI Symbol
-5.38701659443265	2467	Slc28a2	NM_172980	269346	solute carrier family 28 (sodium-coupled nucleoside transporter)
-5.38410901123199	878	Cmpk2	NM_020557	22169	cytidine monophosphate (UMP-CMP) kinase 2
-5.36995555882717	240	Arhgap28	NM_172964	268970	Rho GTPase activating protein 28 [Source:MGI Symbol
-5.3670801705215	845	Efcab6	0	77627	EF-hand calcium binding domain 6 [Source:MGI Symbol
-5.3523875775623	529	Lims2	NM_144862	225341	LIM and senescent cell antigen like domains 2 [Source:MGI Symbol
-5.35104275361161	154	Clec4e	NM_019948	56619	C-type lectin domain family 4
-5.31617842334298	1504	Trim30b	0	244183	tripartite motif-containing 30B [Source:MGI Symbol
-5.27962047610104	94	Hilpda	NM_001190461	69573	hypoxia inducible lipid droplet associated [Source:MGI Symbol
-5.26696503665205	882	Serpinb2	NM_001174170	18788	serine (or cysteine) peptidase inhibitor
-5.25978614308709	231	Wwc1	NM_170779	211652	WW
-5.24514315716431	942	Ramp3	NM_019511	56089	receptor (calcitonin) activity modifying protein 3 [Source:MGI Symbol
-5.21999295187091	121	Sgms2	NM_028943	74442	sphingomyelin synthase 2 [Source:MGI Symbol
-5.21379806187325	2849	Mir155hg	0	NA	Mir155 host gene (non-protein coding) [Source:MGI Symbol
-5.20389957015938	3143	Hist1h2bq	0	665596	histone cluster 1
-5.19538016621698	1433	Traf1	0	22029	TNF receptor-associated factor 1 [Source:MGI Symbol
-5.16617188718908	396	Isg20	NM_001291221	57444	interferon-stimulated protein [Source:MGI Symbol
-5.15974825793841	892	Htr2a	NM_172812	15558	5-hydroxytryptamine (serotonin) receptor 2A [Source:MGI Symbol
-5.12551028395287	126	Htr2b	NM_008311	15559	5-hydroxytryptamine (serotonin) receptor 2B [Source:MGI Symbol
-5.107673261316	2792	Cxcl11	0	56066	chemokine (C-X-C motif) ligand 11 [Source:MGI Symbol
-5.0840298031349	333	Gm21399	0	NA	predicted gene
-5.0586350045899	3446	Slc17a8	NM_182959	216227	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter)
-5.04129294866787	343	Spsb4	NM_145134	211949	splA/ryanodine receptor domain and SOCS box containing 4 [Source:MGI Symbol
-5.03699508744584	848	Arnt2	NM_007488	11864	aryl hydrocarbon receptor nuclear translocator 2 [Source:MGI Symbol
-5.03608744744427	1331	BC023105	0	NA	cDNA sequence BC023105 [Source:MGI Symbol
-5.02645085413248	936	Marco	NM_010766	17167	macrophage receptor with collagenous structure [Source:MGI Symbol
-5.0191019228036	801	Ccbe1	NM_178793	320924	collagen and calcium binding EGF domains 1 [Source:MGI Symbol
-4.97794705396226	196	Clmp	0	71566	CXADR-like membrane protein [Source:MGI Symbol
-4.97084378109755	377	Glipr2	NM_027450	384009	GLI pathogenesis-related 2 [Source:MGI Symbol
-4.96792364698205	1494	Olfr433	NM_146717	258712	olfactory receptor 433 [Source:MGI Symbol
-4.93487767086836	368	Pla1a	NM_134102	85031	phospholipase A1 member A [Source:MGI Symbol
-4.90889316821257	786	Atp2b4	0	381290	ATPase
-4.87746448951856	1724	Ly75	0	17076	lymphocyte antigen 75 [Source:MGI Symbol
-4.86627585205203	750	Mfsd7a	NM_172883	243197	major facilitator superfamily domain containing 7A [Source:MGI Symbol
-4.84473494662015	222	Rhou	0	69581	ras homolog family member U [Source:MGI Symbol
-4.83035444290162	287	Cxcl2	0	20310	chemokine (C-X-C motif) ligand 2 [Source:MGI Symbol
-4.81614935574722	7871	Pde2a	NM_001243757	207728	phosphodiesterase 2A
-4.81073367821535	874	Mx1	0	NA	MX dynamin-like GTPase 1 [Source:MGI Symbol
-4.78541212542005	605	Akap6	NM_198111	238161	A kinase (PRKA) anchor protein 6 [Source:MGI Symbol
-4.7758771452368	921	Ednrb	NM_001136061	13618	endothelin receptor type B [Source:MGI Symbol
-4.76423348549773	1551	Timp1	NM_011593	21857	tissue inhibitor of metalloproteinase 1 [Source:MGI Symbol
-4.75257549771737	3009	Heatr9	NM_001045543	629303	HEAT repeat containing 9 [Source:MGI Symbol
-4.7446683210417	888	Oas1b	0	23961	2'-5' oligoadenylate synthetase 1B [Source:MGI Symbol
-4.74159665472539	463	Arg2	NM_009705	11847	arginase type II [Source:MGI Symbol
-4.69727229995779	335	Acod1	NM_008392	16365	aconitate decarboxylase 1 [Source:MGI Symbol
-4.69012926696988	164	Oit3	NM_010959	18302	oncoprotein induced transcript 3 [Source:MGI Symbol
-4.68373894985445	213	Plpp3	NM_080555	67916	phospholipid phosphatase 3 [Source:MGI Symbol
-4.67752534476965	423	BC094916	NM_001024721	545384	cDNA sequence BC094916 [Source:MGI Symbol
-4.63328024696586	3000	Ido2	0	209176	indoleamine 2
-4.61167648249109	1235	Cd40	0	21939	CD40 antigen [Source:MGI Symbol
-4.52895770991294	657	Glrp1	NM_008132	14659	glutamine repeat protein 1 [Source:MGI Symbol
-4.50063032083151	225	Bcl2a1a	NM_009742	12044	B cell leukemia/lymphoma 2 related protein A1a [Source:MGI Symbol
-4.49189200922589	2040	Ftl2-ps	0	NA	ferritin light polypeptide 2
-4.48359555222213	862	Trim30c	0	NA	tripartite motif-containing 30C [Source:MGI Symbol
-4.47472625080407	2139	Col6a3	NM_001243009	12835	collagen
-4.46689149930876	1778	9130230L23Rik	0	NA	RIKEN cDNA 9130230L23 gene [Source:MGI Symbol
-4.45464789992495	873	Gm5345	0	NA	predicted gene 5345 [Source:MGI Symbol
-4.42081042377092	4376	Chrna5	NM_176844	110835	cholinergic receptor
-4.40980236635583	4180	Edn1	NM_010104	13614	endothelin 1 [Source:MGI Symbol
-4.40966564292211	4083	Rnf225	NM_029809	381845	ring finger protein 225 [Source:MGI Symbol
-4.39868177322465	131	Oasl1	NM_145209	231655	2'-5' oligoadenylate synthetase-like 1 [Source:MGI Symbol
-4.38066767924616	754	Hspa1l	NM_013558	15482	heat shock protein 1-like [Source:MGI Symbol
-4.35762260296046	530	Rtn4r	NM_022982	65079	reticulon 4 receptor [Source:MGI Symbol
-4.35699991476512	1927	Intu	0	380614	inturned planar cell polarity protein [Source:MGI Symbol
-4.34906730346151	397	Tenm4	NM_001310762	23966	teneurin transmembrane protein 4 [Source:MGI Symbol
-4.34028518929429	268	Mmp12	0	17381	matrix metallopeptidase 12 [Source:MGI Symbol
-4.33733498878691	166	Tnfrsf23	0	79201	tumor necrosis factor receptor superfamily
-4.32961352838332	2975	Sema7a	NM_011352	20361	sema domain
-4.32787550419411	2396	Fhod3	NM_001289655	225288	formin homology 2 domain containing 3 [Source:MGI Symbol
-4.31693729936819	249	Lipn	NM_027340	70166	lipase
-4.28683725630628	1876	Clic5	NM_172621	224796	chloride intracellular channel 5 [Source:MGI Symbol
-4.27172250375617	2448	Zbtb32	NM_021397	58206	zinc finger and BTB domain containing 32 [Source:MGI Symbol
-4.27160487612877	730	Antxr1	NM_054041	69538	anthrax toxin receptor 1 [Source:MGI Symbol
-4.24919570258469	1668	Itgb8	NM_177290	320910	integrin beta 8 [Source:MGI Symbol
-4.24084825626122	2713	Tnfsf4	NM_009452	22164	tumor necrosis factor (ligand) superfamily
-4.23254813547797	2265	Rgs9	NM_011268	19739	regulator of G-protein signaling 9 [Source:MGI Symbol
-4.226573732013	3717	Rasgrp1	NM_011246	19419	RAS guanyl releasing protein 1 [Source:MGI Symbol
-4.22493210873844	433	Ifit1bl2	0	112419	interferon induced protein with tetratricopeptide repeats 1B like 2 [Source:MGI Symbol
-4.21844347772106	308	Met	NM_008591	17295	met proto-oncogene [Source:MGI Symbol
-4.21043146994356	1310	9330179D12Rik	0	NA	RIKEN cDNA 9330179D12 gene [Source:MGI Symbol
-4.18257706413632	2989	Fzd1	NM_021457	14362	frizzled class receptor 1 [Source:MGI Symbol
-4.17155696758991	267	Src	0	20779	Rous sarcoma oncogene [Source:MGI Symbol
-4.1545717360817	460	Gm16556	0	NA	predicted gene 16556 [Source:MGI Symbol
-4.14294249654677	1150	Ubd	NM_023137	24108	ubiquitin D [Source:MGI Symbol
-4.11568010893923	1192	Pacrg	0	69310	PARK2 co-regulated [Source:MGI Symbol
-4.0942249036588	678	Tnfrsf26	0	244237	tumor necrosis factor receptor superfamily
-4.09328769436646	152	Clec4d	0	17474	C-type lectin domain family 4
-4.09075244695597	1484	Gm10516	0	NA	predicted gene 10516 [Source:MGI Symbol
-4.07106678564835	325	Hspa1a	NM_010479	193740	heat shock protein 1A [Source:MGI Symbol
-4.05347798924458	685	Plaur	NM_011113	18793	plasminogen activator
-4.04197715242588	246	Prss46	NM_183103	74306	protease
-4.03839596611672	2569	Mxd1	NM_010751	17119	MAX dimerization protein 1 [Source:MGI Symbol
-4.01339357869727	3562	Pcsk1	NM_013628	18548	proprotein convertase subtilisin/kexin type 1 [Source:MGI Symbol
-4.00242698660596	409	Rhov	NM_145530	228543	ras homolog family member V [Source:MGI Symbol
-3.99525411592808	174	Gm14005	0	NA	predicted gene 14005 [Source:MGI Symbol
-3.98943335714355	765	Hspa1b	NM_010478	15511	heat shock protein 1B [Source:MGI Symbol
-3.98711500784057	2526	Ifit1bl1	NM_001110517	667373	interferon induced protein with tetratricpeptide repeats 1B like 1 [Source:MGI Symbol
-3.98368370616178	2886	Gm16181	0	NA	predicted gene 16181 [Source:MGI Symbol
-3.9781569348153	1474	Majin	0	622554	membrane anchored junction protein [Source:MGI Symbol
-3.97670905038399	422	Fabp7	NM_021272	12140	fatty acid binding protein 7
-3.97639672364462	1297	Ifi205	NM_172648	226695	interferon activated gene 205 [Source:MGI Symbol
-3.95832750220394	1460	Olfr56	NM_010999	18356	olfactory receptor 56 [Source:MGI Symbol
-3.95459575260144	2494	Dhfr	NM_010049	13361	dihydrofolate reductase [Source:MGI Symbol
-3.9332566220103	986	4930599N23Rik	0	NA	RIKEN cDNA 4930599N23 gene [Source:MGI Symbol
-3.92658717340033	774	Gm15990	0	NA	predicted gene 15990 [Source:MGI Symbol
-3.91385548760491	644	Ndrg4	0	234593	N-myc downstream regulated gene 4 [Source:MGI Symbol
-3.91357393463796	661	Gm11613	0	NA	predicted gene 11613 [Source:MGI Symbol
-3.91166229791809	699	Ddx60	0	234311	DEAD (Asp-Glu-Ala-Asp) box polypeptide 60 [Source:MGI Symbol
-3.9014603044377	617	Ms4a14	0	383435	membrane-spanning 4-domains
-3.86483044008683	901	Ccl5	NM_013653	20304	chemokine (C-C motif) ligand 5 [Source:MGI Symbol
-3.85955241339861	32	Hmox1	NM_010442	15368	heme oxygenase 1 [Source:MGI Symbol
-3.85678105294609	521	Tnnc1	NM_009393	21924	troponin C
-3.85538564699798	2806	Gpr31b	NM_001013832	436440	G protein-coupled receptor 31
-3.83953583915542	499	Vcan	NM_019389	13003	versican [Source:MGI Symbol
-3.8372379455497	239	Arg1	NM_007482	11846	arginase
-3.82932921291308	197	Sphk1	0	20698	sphingosine kinase 1 [Source:MGI Symbol
-3.82474425787284	1249	Tjp1	NM_009386	21872	tight junction protein 1 [Source:MGI Symbol
-3.81115700429563	2955	Kcnab1	0	16497	potassium voltage-gated channel
-3.80728970103809	660	Gng4	0	14706	guanine nucleotide binding protein (G protein)
-3.80619848067147	2225	Adora2b	NM_007413	11541	adenosine A2b receptor [Source:MGI Symbol
-3.79189979617844	1809	Plpp1	NM_008247	19012	phospholipid phosphatase 1 [Source:MGI Symbol
-3.78718917266756	585	E230013L22Rik	0	NA	RIKEN cDNA E230013L22 gene [Source:MGI Symbol
-3.7768913004715	1338	Gfod1	NM_001033399	328232	glucose-fructose oxidoreductase domain containing 1 [Source:MGI Symbol
-3.7537133477064	379	2310069B03Rik	0	NA	RIKEN cDNA 2310069B03 gene [Source:MGI Symbol
-3.75266606544374	448	Ttc26	NM_153600	264134	tetratricopeptide repeat domain 26 [Source:MGI Symbol
-3.73439328768935	366	Hyal3	0	109685	hyaluronoglucosaminidase 3 [Source:MGI Symbol
-3.73418151585624	727	Gm12474	0	NA	predicted gene 12474 [Source:MGI Symbol
-3.72950124817998	810	Gm9845	0	NA	predicted pseudogene 9845 [Source:MGI Symbol
-3.72926559207527	151	Ctsk	NM_007802	13038	cathepsin K [Source:MGI Symbol
-3.72733234478871	4360	Peak1os	0	NA	pseudopodium-enriched atypical kinase 1
-3.72339807348195	729	Dusp4	NM_176933	319520	dual specificity phosphatase 4 [Source:MGI Symbol
-3.72327848088169	1567	Gm2011	0	NA	predicted gene 2011 [Source:MGI Symbol
-3.7137538083937	1109	Ccrl2	NM_017466	54199	chemokine (C-C motif) receptor-like 2 [Source:MGI Symbol
-3.71367583962638	1273	H2-Q6	0	15019	histocompatibility 2
-3.71283680888975	596	Bhlhe40	NM_011498	20893	basic helix-loop-helix family
-3.71154882818238	1268	Dusp1	NM_013642	19252	dual specificity phosphatase 1 [Source:MGI Symbol
-3.70620413468639	301	Isg15	NM_015783	100038882	ISG15 ubiquitin-like modifier [Source:MGI Symbol
-3.68327720973996	2842	Zswim5	NM_001029912	74464	zinc finger SWIM-type containing 5 [Source:MGI Symbol
-3.68116241386369	24	Hyal1	0	15586	hyaluronoglucosaminidase 1 [Source:MGI Symbol
-3.66873184758689	2938	Rnf24	NM_178607	51902	ring finger protein 24 [Source:MGI Symbol
-3.63794816886958	418	Usp18	NM_011909	24110	ubiquitin specific peptidase 18 [Source:MGI Symbol
-3.63257747568185	3318	Cxxc5	NM_133687	67393	CXXC finger 5 [Source:MGI Symbol
-3.63089846708435	624	Ifit1	NM_008331	15957	interferon-induced protein with tetratricopeptide repeats 1 [Source:MGI Symbol
-3.62885135301153	3972	Fam3b	0	52793	family with sequence similarity 3
-3.59651536693212	2180	Gpr55	NM_001033290	227326	G protein-coupled receptor 55 [Source:MGI Symbol
-3.59158113240515	941	Mmp8	NM_008611	17394	matrix metallopeptidase 8 [Source:MGI Symbol
-3.5875379123138	1471	Gadd45b	NM_008655	17873	growth arrest and DNA-damage-inducible 45 beta [Source:MGI Symbol
-3.58558317419688	1943	Gm22	0	NA	predicted gene 22 [Source:MGI Symbol
-3.58189982354184	305	Gm19026	0	NA	predicted gene
-3.56850117301017	1091	Glis3	NM_175459	226075	GLIS family zinc finger 3 [Source:MGI Symbol
-3.56306578236908	1246	AW011738	0	NA	expressed sequence AW011738 [Source:MGI Symbol
-3.55766546344799	399	Clec4n	NM_001190321	56620	C-type lectin domain family 4
-3.55720169016467	2361	Tnfrsf8	NM_009401	21941	tumor necrosis factor receptor superfamily
-3.55637306445141	536	Iqck	0	434232	IQ motif containing K [Source:MGI Symbol
-3.55633324394607	1810	Cish	NM_009895	12700	cytokine inducible SH2-containing protein [Source:MGI Symbol
-3.52515440528829	1430	Sorbs1	NM_178362	20411	sorbin and SH3 domain containing 1 [Source:MGI Symbol
-3.5235637056412	3488	Bmp8b	NM_007559	12164	bone morphogenetic protein 8b [Source:MGI Symbol
-3.51102098590958	229	Gprc5b	NM_022420	64297	G protein-coupled receptor
-3.49806656830638	883	Gm13986	0	NA	predicted gene 13986 [Source:MGI Symbol
-3.49783054382483	363	Nqo1	NM_008706	18104	NAD(P)H dehydrogenase
-3.49315531797438	203	Gm45236	0	NA	predicted gene 45236 [Source:MGI Symbol
-3.48435761054378	654	Hmga2	NM_010441	15364	high mobility group AT-hook 2 [Source:MGI Symbol
-3.48048411814003	3342	Slc18a1	NM_153054	110877	solute carrier family 18 (vesicular monoamine)
-3.47465278219365	997	Ms4a4c	0	64380	membrane-spanning 4-domains
-3.4703270971721	123	Prdx1	NM_011034	18477	peroxiredoxin 1 [Source:MGI Symbol
-3.46855465565851	1645	Itgb3	NM_016780	16416	integrin beta 3 [Source:MGI Symbol
-3.45085992255482	1991	Gm21860	0	NA	predicted gene
-3.45085992255482	1992	Gm21748	0	NA	predicted gene
-3.44955142070761	1492	Ptgs2os2	0	NA	prostaglandin-endoperoxide synthase 2
-3.43376279025143	1451	Nfkbia	NM_010907	18035	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor
-3.42968731358647	1657	H2-Q5	0	NA	histocompatibility 2
-3.42670934847188	1078	A330074K22Rik	0	NA	RIKEN cDNA A330074K22 gene [Source:MGI Symbol
-3.42649255943801	2936	1810019N24Rik	0	NA	RIKEN cDNA 1810019N24 gene [Source:MGI Symbol
-3.42572371277099	62	Tma16	NM_025465	66282	translation machinery associated 16 [Source:MGI Symbol
-3.41507557874736	163	Nckap1	NM_016965	50884	NCK-associated protein 1 [Source:MGI Symbol
-3.40973471872546	667	Il15ra	NM_001271497	16169	interleukin 15 receptor
-3.40720464528856	1834	Tnfrsf1b	NM_011610	21938	tumor necrosis factor receptor superfamily
-3.38314736153814	2905	Upp1	NM_009477	22271	uridine phosphorylase 1 [Source:MGI Symbol
-3.3817637373426	508	0	0	NA	0
-3.37997583998346	494	Dusp5	NM_001085390	240672	dual specificity phosphatase 5 [Source:MGI Symbol
-3.3798142530058	932	Slpi	NM_011414	20568	secretory leukocyte peptidase inhibitor [Source:MGI Symbol
-3.37741595252501	1836	Ccdc92	NM_144819	215707	coiled-coil domain containing 92 [Source:MGI Symbol
-3.3731422542349	2722	Dpy19l3	NM_178704	233115	dpy-19-like 3 (C. elegans) [Source:MGI Symbol
-3.37096205829446	63	Fth1	NM_010239	14319	ferritin heavy polypeptide 1 [Source:MGI Symbol
-3.36997889016618	144	Phospho1	0	237928	phosphatase
-3.36740581921686	370	Ccdc122	NM_175369	108811	coiled-coil domain containing 122 [Source:MGI Symbol
-3.35378629001835	803	Tmtc2	0	278279	transmembrane and tetratricopeptide repeat containing 2 [Source:MGI Symbol
-3.34466602778887	4580	Ido1	NM_001293690	15930	indoleamine 2
-3.34245452590634	625	Ccr1	NM_009912	12768	chemokine (C-C motif) receptor 1 [Source:MGI Symbol
-3.3352696898792	1180	Gm45138	0	NA	predicted gene 45138 [Source:MGI Symbol
